Date,Rt_low,Rt_avg,Rt_up,population,version
2020-02-17,0.5,1.93,4,hosp,1
2020-02-18,0,1.74,4,hosp,1
2020-02-19,0.5,1.59,2.83,hosp,1
2020-02-20,0.83,1.74,2.83,hosp,1
2020-02-21,0.67,2.03,3.67,hosp,1
2020-02-22,0,2.17,5,hosp,1
2020-02-23,1.17,2.18,3.33,hosp,1
2020-02-24,1.31,2.2,3.22,hosp,1
2020-02-25,1.25,2.15,3.22,hosp,1
2020-02-26,1.33,2.06,2.86,hosp,1
2020-02-27,1.48,2.06,2.69,hosp,1
2020-02-28,1.5,2.1,2.75,hosp,1
2020-02-29,1.37,1.99,2.67,hosp,1
2020-03-01,1.44,1.83,2.25,hosp,1
2020-03-02,1.45,1.79,2.13,hosp,1
2020-03-03,1.44,1.82,2.21,hosp,1
2020-03-04,1.5,1.84,2.2,hosp,1
2020-03-05,1.56,1.86,2.17,hosp,1
2020-03-06,1.63,1.89,2.16,hosp,1
2020-03-07,1.65,1.9,2.15,hosp,1
2020-03-08,1.56,1.8,2.06,hosp,1
2020-03-09,1.5,1.67,1.84,hosp,1
2020-03-10,1.39,1.55,1.72,hosp,1
2020-03-11,1.3,1.43,1.58,hosp,1
2020-03-12,1.2,1.33,1.46,hosp,1
2020-03-13,1.14,1.25,1.36,hosp,1
2020-03-14,1.05,1.16,1.27,hosp,1
2020-03-15,0.94,1.04,1.15,hosp,1
2020-03-16,0.88,0.96,1.04,hosp,1
2020-03-17,0.83,0.92,1.01,hosp,1
2020-03-18,0.8,0.88,0.97,hosp,1
2020-03-19,0.75,0.84,0.93,hosp,1
2020-03-20,0.73,0.81,0.89,hosp,1
2020-03-21,0.7,0.79,0.87,hosp,1
2020-03-22,0.65,0.75,0.84,hosp,1
2020-03-23,0.65,0.72,0.79,hosp,1
2020-03-24,0.62,0.71,0.8,hosp,1
2020-03-25,0.63,0.71,0.8,hosp,1
2020-03-26,0.63,0.72,0.82,hosp,1
