Date_file,Midden:0-19,Midden:20+,Midden:Other,Noord:0-19,Noord:20+,Noord:Other,Zuid:0-19,Zuid:20+,Zuid:Other
2020-10-15,11146,87429,54,6540,57348,17,3659,37738,23
2020-10-16,11634,90411,55,6875,59956,17,3829,39137,24
2020-10-17,12106,93570,58,7200,62553,17,4001,40525,22
2020-10-18,12629,97112,60,7485,64845,18,4163,41899,23
2020-10-19,13153,100343,68,7794,67203,18,4344,43281,22
2020-10-20,13628,103500,69,8133,69583,19,4529,44909,21
2020-10-21,14123,106919,77,8475,72104,23,4764,46628,21
2020-10-22,14642,111071,78,8803,74638,23,4953,48176,21
2020-10-23,15112,115222,82,9227,77649,23,5148,49917,21
2020-10-24,15555,118994,84,9567,80046,26,5322,51437,21
2020-10-25,16124,123414,83,9997,83023,31,5510,53049,23
2020-10-26,16604,127475,87,10403,85433,30,5855,55685,25
2020-10-27,17195,131890,92,10795,88096,31,6078,57686,26
2020-10-28,17611,135151,94,11053,90175,29,6313,59538,27
2020-10-29,18184,139499,99,11363,92766,29,6585,61702,28
2020-10-30,18946,144553,93,11765,95615,28,6851,63495,28
2020-10-31,19515,148578,94,12120,98274,28,7093,65448,28
2020-11-01,20003,152174,93,12415,100373,28,7326,67421,28
2020-11-02,20490,155718,90,12687,102070,28,7574,69463,27
2020-11-03,20912,158863,89,12950,103870,28,7806,71345,27
2020-11-04,21322,161843,87,13225,105728,28,8047,73216,27
2020-11-05,21693,164653,84,13516,107603,29,8219,74664,27
2020-11-06,22092,167627,85,13806,109418,29,8397,76249,27
2020-11-07,22446,170205,83,14079,111211,29,8594,77727,27
2020-11-08,22773,172493,82,14313,112673,30,8767,78907,27
2020-11-09,23003,174297,82,14517,113993,30,8891,79905,27
2020-11-10,23292,176196,79,14699,115232,30,8996,80861,27
2020-11-11,23622,178327,79,14891,116622,30,9168,82053,27
2020-11-12,23965,180616,79,15176,118206,30,9287,83067,27
2020-11-13,24328,182973,79,15500,119928,30,9452,84226,28
2020-11-14,24677,185191,80,15772,121312,30,9645,85723,28
2020-11-15,25035,187373,79,16044,122675,30,9796,86811,28
2020-11-16,25339,189100,78,16305,123873,30,9952,87996,28
2020-11-17,25596,190622,78,16516,125011,31,10083,89038,28
2020-11-18,25897,192315,79,16747,126304,31,10235,89976,28
2020-11-19,26311,194559,79,16999,127530,32,10444,91275,28
2020-11-20,26782,196948,78,17328,128988,32,10641,92365,28
2020-11-21,27272,199017,78,17722,130674,33,10823,93613,28
2020-11-22,27715,200956,78,18016,132018,33,11020,94784,28
2020-11-23,28123,202640,78,18330,133501,33,11242,95843,28
2020-11-24,28420,203951,74,18600,134596,32,11401,96642,28
2020-11-25,28839,205830,74,18845,135783,32,11603,97619,28
2020-11-26,29208,207510,74,19083,136961,32,11759,98468,28
2020-11-27,29728,209416,74,19406,138427,32,12027,99728,28
2020-11-28,30093,210989,74,19695,139674,32,12174,100566,28
2020-11-29,30559,213038,74,19992,141083,32,12405,101700,27
2020-11-30,30899,214500,74,20309,142405,32,12590,102642,27
2020-12-01,31176,215861,73,20541,143519,32,12758,103535,28
2020-12-02,31626,217690,73,20804,144791,32,12932,104468,28
2020-12-03,32120,219695,73,21143,146206,32,13164,105589,28
2020-12-04,32682,221858,74,21453,147557,33,13395,106844,28
2020-12-05,33260,224008,74,21850,149205,33,13663,108323,29
2020-12-06,33821,226352,74,22326,150976,33,13953,109660,29
2020-12-07,34480,228675,75,22772,152812,33,14283,111131,30
2020-12-08,35038,230670,75,23192,154383,33,14559,112457,30
2020-12-09,35636,232820,75,23653,156094,33,14819,113805,30
2020-12-10,36451,235905,75,24185,158236,34,15206,115563,30
2020-12-11,37338,239094,75,24680,160170,34,15656,117446,30
2020-12-12,38174,242091,75,25298,162419,34,16085,119397,30
2020-12-13,39036,245401,75,25928,164803,34,16556,121624,30
2020-12-14,39830,248157,75,26480,167038,34,16930,123370,30
2020-12-15,40408,250053,75,26940,168900,34,17262,124875,30
2020-12-16,41324,253838,76,27605,171865,34,17756,127218,30
2020-12-17,42264,258039,76,28311,175463,34,18285,130023,30
2020-12-18,43196,262441,76,28946,178562,34,18760,132411,30
2020-12-19,44019,266341,76,29623,182210,35,19273,135066,30
2020-12-20,45006,270810,76,30305,185880,35,19753,137810,30
2020-12-21,45787,274531,77,30979,189055,35,20203,140174,32
2020-12-22,46438,277731,77,31461,191957,35,20559,142392,33
2020-12-23,47111,281246,78,31971,194926,35,20941,144731,32
2020-12-24,47853,285289,78,32536,198348,35,21332,147066,33
2020-12-25,48605,289274,79,33108,201856,35,21701,149367,32
2020-12-26,49305,292730,79,33616,204851,35,21988,151269,32
2020-12-27,49872,295466,79,34049,207672,36,22331,153448,32
2020-12-28,50385,298083,79,34442,209759,36,22591,154993,32
2020-12-29,50784,300628,79,34811,212164,36,22823,156545,32
2020-12-30,51303,304116,80,35221,215132,36,23065,158314,33
2020-12-31,51769,307488,80,35690,218357,36,23315,160212,34
2021-01-01,52167,310451,80,36025,221017,37,23555,161798,34
2021-01-02,52643,313561,80,36362,223727,37,23798,163523,34
2021-01-03,52935,315640,80,36748,226261,37,24039,165389,34
2021-01-04,53301,317988,80,37069,228371,37,24222,166624,34
2021-01-05,53644,320049,80,37350,230301,37,24458,168111,34
2021-01-06,54036,322570,81,37678,232454,37,24666,169607,34
2021-01-07,54670,325976,81,38180,235398,37,24974,171440,34
2021-01-08,55085,328388,81,38666,238055,37,25291,173277,34
2021-01-09,55506,330909,81,39033,240074,37,25556,175005,34
2021-01-10,55895,332970,82,39416,242125,36,25806,176483,34
2021-01-11,56169,334627,82,39638,243800,36,26020,177857,34
2021-01-12,56415,336131,81,39866,245441,36,26190,178941,34
2021-01-13,56731,338430,81,40127,247202,36,26375,180205,34
2021-01-14,57032,340516,80,40433,249321,37,26583,181651,34
2021-01-15,57340,342546,80,40708,251197,37,26799,182955,34
2021-01-16,57595,344157,80,40934,252772,37,27013,184334,34
2021-01-17,57867,345873,80,41241,254561,39,27185,185674,34
2021-01-18,58093,347221,81,41480,256172,39,27336,186852,34
2021-01-19,58261,348472,81,41684,257647,39,27485,187877,34
2021-01-20,58545,350432,81,41922,259344,39,27621,189092,34
2021-01-21,58814,352265,81,42198,261191,39,27798,190464,34
2021-01-22,59081,354183,81,42441,262960,39,27973,191836,34
