Date_file,Midden:0-19,Midden:20+,Midden:Other,Noord:0-19,Noord:20+,Noord:Other,Zuid:0-19,Zuid:20+,Zuid:Other
2021-09-18,162869,685069,110,125928,531306,50,87813,390062,45
2021-09-19,163185,685556,110,126074,531676,50,87911,390308,45
2021-09-20,163424,685908,111,126203,531971,50,88029,390500,45
2021-09-21,163755,686448,111,126331,532313,50,88153,390699,45
2021-09-22,164080,687105,111,126489,532667,50,88288,390970,45
2021-09-23,164380,687687,111,126625,533085,50,88400,391245,45
2021-09-24,164638,688268,111,126767,533460,50,88489,391481,45
2021-09-25,164873,688834,111,126919,533811,50,88576,391682,45
2021-09-26,165126,689337,111,127041,534145,50,88704,391939,45
2021-09-27,165347,689796,112,127169,534435,50,88793,392138,45
2021-09-28,165631,690371,112,127324,534809,50,88889,392361,45
2021-09-29,165876,690973,112,127494,535151,50,89006,392640,45
2021-09-30,166091,691534,112,127617,535579,50,89116,392906,45
2021-10-01,166329,692140,112,127762,535959,50,89207,393158,46
2021-10-02,166525,692722,112,127889,536353,50,89288,393436,46
2021-10-03,166721,693261,112,128020,536724,50,89374,393716,46
2021-10-04,166948,693823,112,128146,537095,50,89465,393963,46
2021-10-05,167257,694529,112,128303,537464,50,89560,394209,46
2021-10-06,167530,695165,112,128485,537845,51,89669,394522,46
2021-10-07,167929,696102,112,128728,538469,51,89812,394922,46
2021-10-08,168305,697109,112,128938,539038,51,89922,395411,46
2021-10-09,168613,697984,112,129149,539597,51,90055,395826,46
2021-10-10,168888,698684,112,129346,540170,51,90185,396209,46
2021-10-11,169260,699612,112,129590,540804,51,90331,396596,46
2021-10-12,169749,700615,112,129817,541398,51,90474,397027,46
2021-10-13,170240,701839,112,130125,542303,51,90661,397628,46
2021-10-14,170761,703093,112,130410,543115,51,90831,398209,46
2021-10-15,171242,704438,112,130705,543977,52,91007,398758,46
2021-10-16,171676,705696,113,130969,544864,52,91173,399450,46
2021-10-17,172092,706778,113,131296,545749,52,91393,400192,46
2021-10-18,172487,707804,113,131576,546566,52,91617,400804,46
2021-10-19,172952,709131,113,131833,547373,52,91867,401593,46
2021-10-20,173430,710596,113,132178,548528,52,92125,402466,46
2021-10-21,174003,712303,113,132524,549789,52,92433,403466,46
2021-10-22,174629,714469,113,132917,551147,52,92689,404535,46
2021-10-23,175119,716476,113,133279,552545,52,92967,405675,47
2021-10-24,175734,718653,113,133630,554001,52,93319,407014,47
2021-10-25,176266,720403,113,133998,555359,52,93578,408043,47
2021-10-26,176848,722303,113,134381,556765,52,93821,409276,47
2021-10-27,177575,724824,113,134858,558634,52,94145,410618,47
2021-10-28,178332,727683,113,135290,560416,52,94492,412124,47
2021-10-29,178939,730473,113,135686,562177,53,94820,413630,47
