# Bron: https://www.cbs.nl/nl-nl/maatwerk/2015/20/religie-en-kerkbezoek-naar-gemeente-2010-2014
# Kerkelijke gezindte en kerkbezoek in 403 gemeenten, 2010/2014 (18 jaar en ouder 1)
# Kolom "Maandelijks%" is bevolkingsdeel dan minimaal 1x per maand een religieuze dienst bezoekt.
Provincie,Gemeente,Gemcode,Maandelijks%,Religieus%,dummy,Katholiek%,Hervormd%,Gereformeerd%,PKN%,Islam%,Joods%,Hindoe%,Boeddhist%,Anders%
Noord-Holland,Purmerend,439,8.1,29.6,,14.8,2.2,0.8,3.4,2.6,0.3,0.8,0.3,4.5
Noord-Holland,Schagen,441,8.7,41.5,,28.8,4.3,1.5,1.9,0.8,0.0,0.1,0.2,4.0
Noord-Holland,Texel,448,17.2,48.4,,16.9,14.0,1.1,8.8,0.7,0.4,0.0,0.4,5.9
Noord-Holland,Uitgeest,450,10.8,43.5,,30.2,2.2,0.3,4.6,0.9,0.0,0.0,0.0,5.5
Noord-Holland,Uithoorn,451,9.9,34.8,,20.7,2.8,1.0,4.8,2.6,0.0,0.9,0.4,1.6
Noord-Holland,Velsen,453,9.4,33.1,,14.6,5.8,1.9,4.1,3.1,0.1,0.1,0.2,3.2
Noord-Holland,Weesp,457,12.0,38.5,,13.6,4.6,1.3,7.3,9.4,0.2,0.0,0.2,1.9
Noord-Holland,Schermer,458,.,.,,.,.,.,.,.,.,.,.,.
Noord-Holland,Zandvoort,473,5.1,29.9,,19.4,2.6,0.6,4.6,1.4,0.0,0.0,0.3,0.9
Noord-Holland,Zeevang,478,,.,,.,.,.,.,.,.,.,.,.
Noord-Holland,Zaanstad,479,12.7,36.8,,13.6,2.7,2.4,2.8,9.0,0.3,0.9,0.6,4.7
Noord-Holland,Drechterland,498,6.6,45.3,,36.4,4.8,1.3,1.1,0.0,0.0,0.2,0.0,1.5
Noord-Holland,Stede Broec,532,7.4,40.6,,29.0,1.7,2.0,1.0,1.0,0.2,0.5,0.2,5.1
Noord-Holland,Waterland,852,18.8,45.1,,10.4,12.9,7.2,11.5,0.0,0.0,0.0,0.7,2.7
Noord-Holland,Wormerland,880,7.1,28.9,,19.5,1.8,2.8,1.3,1.3,0.0,0.0,0.0,2.3
Noord-Holland,Koggenland,1598,16.7,55.3,,49.0,2.0,0.5,2.6,0.0,0.0,0.0,0.3,0.9
Noord-Holland,Wijdemeren,1696,13.8,39.8,,16.8,10.3,1.6,5.4,1.6,0.0,0.0,0.5,3.7
Noord-Holland,Hollands Kroon,1911,12.5,39.0,,24.0,4.4,1.7,5.7,0.6,0.1,0.2,0.0,2.3
Zuid-Holland,Alblasserdam,482,41.3,53.4,,4.3,9.2,13.3,16.0,3.0,0.7,0.0,0.0,7.1
Zuid-Holland,Albrandswaard,613,11.2,43.8,,10.9,13.2,6.1,5.5,2.1,0.0,1.3,0.4,4.3
Zuid-Holland,Alphen aan den Rijn,484,20.4,52.6,,18.7,9.2,6.0,8.8,3.7,0.1,0.8,0.6,4.6
Zuid-Holland,Barendrecht,489,17.3,48.1,,11.4,12.7,9.4,7.4,3.3,0.0,0.2,0.2,3.5
Zuid-Holland,Bergambacht,491,33.9,54.8,,5.1,23.5,5.9,17.3,0.4,0.0,0.0,0.7,1.8
Zuid-Holland,Bernisse,568,12.7,37.7,,5.1,14.1,4.2,10.2,2.4,0.0,0.0,0.0,1.8
Zuid-Holland,Binnenmaas,585,18.2,49.9,,5.9,24.4,6.9,7.7,0.1,0.0,0.0,0.0,4.9
Zuid-Holland,Bodegraven-Reeuwijk,1901,31.4,59.3,,18.4,11.1,8.3,14.3,3.1,0.0,0.0,0.2,4.0
Zuid-Holland,Brielle,501,7.2,30.7,,6.6,9.8,2.6,7.5,0.9,0.0,0.9,0.6,2.0
Zuid-Holland,Capelle aan den IJssel,502,15.4,41.7,,9.9,7.7,5.2,5.6,4.3,0.1,2.1,0.5,6.2
Zuid-Holland,Cromstrijen,611,21.9,51.5,,5.2,31.4,4.3,6.2,0.0,0.0,0.0,0.0,4.3
Zuid-Holland,Delft,503,11.3,39.3,,18.5,4.9,2.3,4.5,3.9,0.2,0.6,0.2,4.2
Zuid-Holland,Dordrecht,505,18.3,43.5,,10.2,7.7,2.9,6.0,9.2,0.0,0.5,0.3,6.7
Zuid-Holland,Giessenlanden,689,37.0,66.1,,7.3,24.7,10.4,18.2,1.0,0.0,0.0,0.0,4.6
Zuid-Holland,Goeree-Overflakkee,1924,39.3,56.7,,5.4,21.7,9.3,10.0,0.4,0.0,0.0,0.1,9.8
Zuid-Holland,Gorinchem,512,21.9,48.3,,7.7,14.1,3.5,5.2,9.1,0.0,0.8,0.4,7.5
Zuid-Holland,Gouda,513,19.7,46.4,,11.9,8.5,2.5,7.2,10.1,0.6,0.3,0.4,5.0
Zuid-Holland,Hardinxveld-Giessendam,523,52.3,68.6,,3.3,21.9,12.6,23.3,0.5,0.0,0.0,0.0,7.1
Zuid-Holland,Hellevoetsluis,530,10.9,30.4,,8.9,6.7,0.9,6.5,2.6,0.0,0.1,0.4,4.3
Zuid-Holland,Hendrik-Ido-Ambacht,531,32.0,56.0,,6.4,13.5,9.9,15.8,1.7,0.0,0.4,0.6,7.7
Zuid-Holland,Hillegom,534,12.4,55.5,,37.5,5.8,1.5,5.4,2.1,0.2,0.0,0.2,2.9
Zuid-Holland,Kaag en Braassem,1884,22.1,69.0,,48.7,8.6,2.6,6.3,0.8,0.0,0.0,0.4,1.6
Zuid-Holland,Katwijk,537,39.2,72.6,,5.0,27.7,14.9,16.8,1.7,0.0,0.1,0.0,6.4
Zuid-Holland,Korendijk,588,28.9,52.9,,7.1,18.2,6.8,14.0,0.0,0.0,0.0,0.0,6.8
Zuid-Holland,Krimpen aan den IJssel,542,32.4,55.0,,9.3,16.2,6.8,11.3,1.6,0.5,0.0,0.0,9.1
Zuid-Holland,Lansingerland,1621,15.8,45.9,,19.8,11.5,4.2,4.2,2.5,0.0,0.7,0.7,2.3
Zuid-Holland,Leerdam,545,39.2,65.1,,6.8,19.8,5.6,10.3,17.1,0.0,0.0,0.0,5.4
Zuid-Holland,Leiden,546,11.4,37.8,,14.2,5.5,1.8,5.0,4.6,0.1,0.8,0.4,5.3
Zuid-Holland,Leiderdorp,547,14.7,49.9,,16.9,10.3,3.3,8.5,4.3,0.1,0.6,0.4,5.3
Zuid-Holland,Leidschendam-Voorburg,1916,14.7,43.9,,22.7,5.3,1.4,4.7,4.7,0.1,1.1,0.1,3.8
Zuid-Holland,Lisse,553,24.5,64.2,,40.2,7.4,5.8,4.3,0.7,0.2,0.0,0.0,5.7
Zuid-Holland,Maassluis,556,20.1,56.6,,12.2,14.3,6.6,7.6,11.5,0.0,0.5,0.2,3.8
Zuid-Holland,Midden-Delfland,1842,31.4,69.8,,33.9,12.6,3.9,15.0,1.2,0.0,0.0,0.2,3.1
Zuid-Holland,Molenwaard,1927,52.5,64.7,,1.8,22.2,12.3,18.6,1.0,0.0,0.0,0.1,8.8
Zuid-Holland,Nederlek,643,14.1,40.4,,3.4,23.2,2.8,6.6,0.0,0.0,0.0,0.0,4.4
Zuid-Holland,Nieuwkoop,569,25.6,66.1,,45.0,6.3,3.9,3.0,3.0,0.0,0.0,0.1,4.8
Zuid-Holland,Noordwijk,575,13.2,52.8,,30.9,6.6,2.8,4.4,3.5,0.0,0.0,0.0,4.4
Zuid-Holland,Noordwijkerhout,576,18.2,63.0,,44.1,7.3,3.6,3.3,1.2,1.2,0.0,0.0,2.4
Zuid-Holland,Oegstgeest,579,13.7,48.7,,19.7,8.7,3.3,9.9,1.2,0.7,0.2,0.7,4.4
Zuid-Holland,Oud-Beijerland,584,23.1,51.7,,7.8,18.1,4.6,13.6,1.2,0.6,0.9,0.1,4.8
Zuid-Holland,Ouderkerk,644,42.1,61.5,,0.9,25.7,6.0,22.0,2.3,0.0,0.0,0.5,4.1
Zuid-Holland,Papendrecht,590,20.0,43.9,,9.4,10.3,8.3,8.3,3.6,0.1,0.2,0.0,3.7
Zuid-Holland,Pijnacker-Nootdorp,1926,12.8,49.7,,22.9,10.0,3.2,5.9,1.7,0.1,1.7,0.2,4.0
Zuid-Holland,Ridderkerk,597,23.6,46.3,,4.7,16.8,4.9,11.1,3.3,0.0,0.1,0.2,5.2
Zuid-Holland,Rijswijk,603,12.2,46.8,,19.4,4.9,1.3,5.8,5.9,0.2,1.6,1.0,6.6
Zuid-Holland,Rotterdam,599,18.1,50.6,,15.2,5.1,1.9,4.3,13.4,0.1,3.1,0.5,6.9
Zuid-Holland,Schiedam,606,14.7,45.6,,15.0,5.4,3.4,3.9,12.1,0.1,0.9,0.4,4.5
Zuid-Holland,Schoonhoven,608,24.8,47.6,,12.4,14.2,4.8,9.7,5.1,0.0,0.0,0.6,0.6
Zuid-Holland,'s-Gravenhage,518,16.5,51.3,,15.1,4.8,1.4,3.9,14.8,0.2,4.6,0.7,5.8
Zuid-Holland,Sliedrecht,610,40.6,63.1,,4.9,22.4,10.4,14.3,2.7,0.0,0.0,0.0,8.3
Zuid-Holland,Spijkenisse,612,10.5,35.5,,11.6,7.2,2.5,4.3,3.7,0.0,1.4,0.3,4.5
Zuid-Holland,Strijen,617,18.8,44.3,,5.9,30.9,0.0,4.2,0.0,0.0,0.0,0.0,3.0
Zuid-Holland,Teylingen,1525,13.8,56.7,,36.9,4.4,2.2,7.2,2.0,0.0,0.1,0.1,3.7
Zuid-Holland,Vlaardingen,622,16.6,44.2,,12.2,5.8,3.2,6.7,10.5,0.1,0.5,0.3,4.9
Zuid-Holland,Vlist,623,20.8,42.8,,18.4,12.4,2.3,7.0,0.0,0.0,0.0,0.0,2.7
Zuid-Holland,Voorschoten,626,8.5,41.0,,22.8,6.1,1.1,4.8,1.8,0.3,0.0,0.0,4.0
Zuid-Holland,Waddinxveen,627,31.2,57.3,,12.7,13.7,7.3,17.2,1.7,0.0,1.4,0.0,3.5
Zuid-Holland,Wassenaar,629,14.2,51.4,,29.5,9.9,0.9,5.4,1.9,0.0,0.0,0.2,3.6
Zuid-Holland,Westland,1783,24.5,65.1,,34.1,12.8,5.3,7.7,1.7,0.0,0.3,0.0,3.2
Zuid-Holland,Westvoorne,614,8.2,36.5,,10.2,14.1,6.0,2.7,0.7,0.0,0.0,0.2,2.5
Zuid-Holland,Zederik,707,42.2,70.5,,9.6,35.4,5.4,16.5,0.0,0.0,0.0,0.0,3.6
Zuid-Holland,Zoetermeer,637,12.4,45.3,,18.6,6.9,2.0,4.1,4.7,0.2,3.0,0.5,5.3
Zuid-Holland,Zoeterwoude,638,12.8,61.5,,51.8,4.1,0.0,1.0,0.5,0.0,0.0,0.0,4.1
Zuid-Holland,Zuidplas,1892,27.1,49.6,,11.6,13.3,6.5,10.3,2.0,0.0,0.2,0.3,5.4
Zuid-Holland,Zwijndrecht,642,20.1,48.5,,9.4,11.4,6.3,10.3,4.8,0.0,0.4,0.1,6.0
Zeeland,Borsele,654,26.6,62.7,,25.0,12.2,10.3,10.2,0.0,0.0,0.0,0.2,4.7
Zeeland,Goes,664,19.8,51.4,,13.9,13.1,4.9,12.3,1.8,0.0,0.3,0.4,4.7
Zeeland,Hulst,677,15.5,63.4,,55.9,1.6,0.3,2.0,1.2,0.0,0.0,0.8,1.5
Zeeland,Kapelle,678,29.9,60.5,,13.1,18.5,7.3,15.2,1.2,0.0,0.0,0.0,5.2
Zeeland,Middelburg,687,27.2,50.6,,8.5,9.9,11.8,10.7,1.9,0.2,0.0,0.2,7.4
Zeeland,Noord-Beveland,1695,19.0,54.0,,12.0,16.6,1.7,20.0,0.0,0.6,0.0,0.0,2.9
Zeeland,Reimerswaal,703,50.6,75.6,,10.5,14.8,28.6,13.2,0.8,0.0,0.0,0.0,7.7
Zeeland,Schouwen-Duiveland,1676,26.9,51.2,,9.0,18.0,8.3,12.8,0.0,0.0,0.0,0.1,3.1
Zeeland,Sluis,1714,11.1,51.7,,28.6,11.1,2.1,4.0,1.4,0.0,0.6,0.9,2.9
Zeeland,Terneuzen,715,18.7,53.4,,24.6,7.5,4.6,7.2,5.5,0.1,0.1,0.1,3.7
Zeeland,Tholen,716,42.2,65.2,,5.9,23.8,12.7,14.1,0.0,0.0,0.0,0.3,8.4
Zeeland,Veere,717,35.9,60.7,,4.1,9.4,15.4,22.9,0.0,0.0,0.0,0.7,8.2
Zeeland,Vlissingen,718,14.5,40.7,,14.0,6.1,3.1,8.5,1.7,0.0,0.2,0.3,6.6
Noord-Brabant,Aalburg,738,44.7,79.4,,9.0,32.2,14.0,19.3,0.3,0.0,0.8,0.5,3.4
Noord-Brabant,Alphen-Chaam,1723,17.3,81.3,,78.8,1.5,0.0,0.0,1.1,0.0,0.0,0.0,0.0
Noord-Brabant,Asten,743,16.2,77.8,,73.2,0.2,0.2,1.7,1.7,0.0,0.0,0.0,0.8
Noord-Brabant,Baarle-Nassau,744,9.9,71.3,,66.5,0.0,0.0,3.1,0.0,0.0,0.0,0.0,1.9
Noord-Brabant,Bergeijk,1724,19.3,73.6,,69.5,0.2,0.7,1.4,1.1,0.0,0.0,0.0,0.7
Noord-Brabant,Bergen op Zoom,748,13.4,66.2,,46.4,2.0,0.7,2.2,12.2,0.0,0.1,0.7,1.9
Noord-Brabant,Bernheze,1721,16.8,78.9,,73.4,0.5,0.0,0.2,0.7,0.0,0.0,0.1,3.8
Noord-Brabant,Best,753,15.2,68.1,,52.7,2.6,2.1,2.3,5.3,0.0,0.0,1.2,1.9
Noord-Brabant,Bladel,1728,9.4,73.7,,66.8,1.3,0.4,0.9,1.1,0.0,0.0,0.4,2.7
Noord-Brabant,Boekel,755,17.8,76.9,,74.5,0.4,0.0,1.2,0.0,0.0,0.0,0.0,0.8
Noord-Brabant,Boxmeer,756,13.0,73.8,,64.7,0.8,0.4,2.7,1.9,0.0,1.1,0.3,2.0
Noord-Brabant,Boxtel,757,9.6,68.2,,61.8,1.2,0.5,1.0,1.9,0.0,0.0,0.0,1.8
Noord-Brabant,Breda,758,10.4,55.1,,41.8,2.4,0.5,3.1,3.6,0.0,0.6,0.5,2.6
Noord-Brabant,Cranendonck,1706,18.3,79.3,,74.5,0.5,0.2,1.3,0.7,0.0,0.2,0.2,1.8
Noord-Brabant,Cuijk,1684,16.1,69.8,,55.9,1.1,0.0,2.9,6.6,0.0,0.3,1.7,1.3
Noord-Brabant,Deurne,762,17.7,77.8,,73.7,0.8,0.2,1.8,1.0,0.0,0.0,0.0,0.2
Noord-Brabant,Dongen,766,15.9,72.4,,56.8,3.0,1.3,3.1,6.2,0.0,0.1,0.1,1.7
Noord-Brabant,Drimmelen,1719,7.6,68.8,,59.1,3.0,0.9,2.4,0.7,0.0,0.0,0.3,2.5
Noord-Brabant,Eersel,770,18.0,76.1,,71.4,1.4,0.0,2.6,0.4,0.0,0.0,0.0,0.4
Noord-Brabant,Eindhoven,772,10.0,55.1,,36.9,1.6,0.8,2.5,8.0,0.0,0.8,0.5,3.9
Noord-Brabant,Etten-Leur,777,10.2,63.6,,55.2,1.0,0.8,1.2,3.0,0.0,0.0,0.6,1.9
Noord-Brabant,Geertruidenberg,779,10.2,59.3,,45.8,6.2,1.0,3.6,0.5,0.0,0.3,0.2,1.6
Noord-Brabant,Geldrop-Mierlo,1771,8.5,63.1,,53.8,1.6,0.3,2.2,2.2,0.0,0.1,0.6,2.3
Noord-Brabant,Gemert-Bakel,1652,11.7,76.7,,70.4,1.7,0.1,0.5,1.1,0.0,0.0,0.9,2.0
Noord-Brabant,Gilze en Rijen,784,16.5,71.0,,61.7,0.7,0.3,4.6,2.9,0.0,0.0,0.1,0.7
Noord-Brabant,Goirle,785,8.6,68.6,,63.0,0.2,0.2,1.5,1.8,0.0,0.0,0.3,1.7
Noord-Brabant,Grave,786,13.9,70.1,,60.4,1.3,0.3,3.7,0.0,0.0,0.0,0.3,4.0
Noord-Brabant,Haaren,788,17.0,75.3,,72.6,0.3,0.0,1.2,0.0,0.0,0.0,0.9,0.3
Noord-Brabant,Halderberge,1655,16.4,80.9,,71.3,2.0,1.2,1.9,2.7,0.0,0.4,0.2,1.2
Noord-Brabant,Heeze-Leende,1658,18.3,71.4,,64.7,4.2,0.0,2.2,0.0,0.0,0.0,0.0,0.2
Noord-Brabant,Helmond,794,12.6,70.8,,54.6,0.5,0.2,2.1,10.2,0.0,0.5,0.5,2.1
Noord-Brabant,Heusden,797,13.7,67.0,,57.3,1.9,0.5,2.3,3.2,0.1,0.2,0.4,1.1
Noord-Brabant,Hilvarenbeek,798,14.5,77.8,,72.4,1.3,0.3,1.8,0.8,0.0,0.3,0.3,0.8
Noord-Brabant,Laarbeek,1659,9.5,77.6,,74.5,0.5,0.2,1.0,0.0,0.0,0.0,0.0,1.5
Noord-Brabant,Landerd,1685,13.4,73.5,,69.2,0.6,0.0,0.6,0.8,0.0,0.0,0.3,2.0
Noord-Brabant,Loon op Zand,809,12.2,68.9,,60.3,2.0,0.0,2.5,2.7,0.0,0.0,0.2,1.3
Noord-Brabant,Maasdonk,1671,13.3,78.6,,76.9,0.0,0.0,0.3,0.7,0.3,0.0,0.3,0.0
Noord-Brabant,Mill en Sint Hubert,815,13.9,70.8,,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4
Noord-Brabant,Moerdijk,1709,14.1,64.4,,39.2,14.0,2.5,4.8,1.3,0.0,0.2,0.2,2.1
Noord-Brabant,"Nuenen, Gerwen en Nederwetten",820,10.7,57.5,,49.2,0.8,0.2,4.9,0.5,0.0,0.0,0.3,1.5
Noord-Brabant,Oirschot,823,15.1,82.7,,75.4,2.3,0.5,0.5,0.3,0.0,0.0,0.3,3.5
Noord-Brabant,Oisterwijk,824,10.9,64.7,,57.8,0.8,0.0,0.7,1.1,0.0,0.0,0.2,4.1
Noord-Brabant,Oosterhout,826,14.3,64.9,,48.2,3.4,0.5,3.2,5.4,0.0,0.4,0.1,3.6
Noord-Brabant,Oss,828,11.0,70.3,,60.5,1.8,0.4,1.3,3.8,0.0,0.3,0.2,2.0
Noord-Brabant,Reusel-De Mierden,1667,16.0,70.5,,69.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3
Noord-Brabant,Roosendaal,1674,11.8,68.4,,54.3,2.2,0.4,1.4,7.5,0.0,0.1,0.1,2.3
Noord-Brabant,Rucphen,840,12.5,81.2,,77.6,0.5,0.5,0.7,0.5,0.0,0.3,0.3,0.8
Noord-Brabant,Schijndel,844,8.0,73.9,,69.9,1.1,0.0,0.8,0.8,0.0,0.8,0.6,0.0
Noord-Brabant,'s-Hertogenbosch,796,11.6,58.1,,45.3,1.6,0.4,2.2,5.7,0.0,0.4,0.4,2.2
Noord-Brabant,Sint Anthonis,1702,13.2,74.1,,67.8,0.0,0.0,0.6,1.9,0.3,0.0,0.0,3.4
Noord-Brabant,Sint-Michielsgestel,845,12.2,71.9,,68.0,0.4,0.4,1.2,0.7,0.0,0.0,0.3,0.8
Noord-Brabant,Sint-Oedenrode,846,15.7,76.3,,71.1,1.4,0.2,0.2,1.8,0.0,0.0,0.0,1.6
Noord-Brabant,Someren,847,18.3,86.6,,83.2,0.2,0.2,1.7,0.6,0.0,0.0,0.0,0.8
Noord-Brabant,Son en Breugel,848,12.2,62.8,,52.6,0.2,2.0,5.7,1.0,0.0,0.0,0.0,1.2
Noord-Brabant,Steenbergen,851,11.2,67.0,,50.5,9.3,0.3,4.4,0.8,0.0,0.2,0.2,1.4
Noord-Brabant,Tilburg,855,11.0,61.2,,49.1,1.1,0.4,1.5,5.9,0.0,0.3,0.4,2.6
Noord-Brabant,Uden,856,13.6,65.2,,57.7,1.4,0.8,2.0,1.5,0.0,0.1,0.0,1.7
Noord-Brabant,Valkenswaard,858,10.3,68.7,,63.5,1.2,0.6,1.7,0.4,0.1,0.2,0.1,0.9
Noord-Brabant,Veghel,860,15.6,69.9,,60.4,1.0,0.1,1.4,4.9,0.0,0.2,0.1,1.7
Noord-Brabant,Veldhoven,861,8.6,60.1,,49.3,3.0,0.8,3.0,1.6,0.0,0.0,0.1,2.3
Noord-Brabant,Vught,865,12.5,65.0,,53.5,2.4,0.5,4.4,0.9,0.0,0.0,0.5,2.8
Noord-Brabant,Waalre,866,6.4,49.3,,38.6,2.8,0.8,4.2,0.6,0.0,0.0,0.0,2.5
Noord-Brabant,Waalwijk,867,18.1,68.3,,45.7,8.6,1.4,4.3,5.4,0.0,0.7,0.2,2.2
Noord-Brabant,Werkendam,870,30.4,69.0,,14.0,23.7,8.8,11.3,1.6,0.0,0.0,0.0,9.5
Noord-Brabant,Woensdrecht,873,10.3,70.7,,61.7,1.9,0.3,1.7,1.9,0.0,0.0,0.3,2.8
Noord-Brabant,Woudrichem,874,43.1,66.3,,5.2,27.8,13.2,13.8,0.0,0.0,0.0,0.6,5.7
Noord-Brabant,Zundert,879,12.4,75.8,,72.1,2.1,0.9,0.2,0.0,0.0,0.0,0.2,0.4
Limburg,Beek,888,16.8,83.7,,73.8,0.6,0.0,0.9,5.6,0.0,0.2,1.3,1.3
Limburg,Beesel,889,7.8,75.3,,72.1,0.3,0.0,0.3,1.9,0.0,0.0,0.0,0.8
Limburg,Bergen (L.),893,17.3,76.7,,70.6,1.9,0.3,0.3,2.1,0.0,0.0,0.5,1.1
Limburg,Brunssum,899,16.1,75.4,,62.3,2.4,0.5,1.9,2.6,0.0,0.0,0.4,5.2
Limburg,Echt-Susteren,1711,23.4,86.4,,82.1,0.2,0.3,1.0,0.6,0.0,0.0,0.2,1.9
Limburg,Eijsden-Margraten,1903,26.6,81.6,,78.1,0.6,0.3,0.6,1.4,0.0,0.0,0.0,0.6
Limburg,Gennep,907,11.0,66.1,,60.6,1.0,0.0,0.0,3.6,0.0,0.0,0.2,0.7
Limburg,Gulpen-Wittem,1729,36.8,90.0,,85.7,0.5,0.2,0.9,0.5,0.0,0.0,0.0,2.1
Limburg,Heerlen,917,13.8,74.5,,61.8,1.3,0.6,1.7,4.8,0.2,0.0,0.5,3.6
Limburg,Horst aan de Maas,1507,13.7,75.9,,71.7,0.8,0.1,0.5,0.3,0.1,0.2,0.7,1.5
Limburg,Kerkrade,928,16.9,85.6,,79.4,0.4,0.1,1.0,2.1,0.0,0.1,0.4,2.0
Limburg,Landgraaf,882,10.8,84.9,,76.3,2.8,0.3,1.7,2.2,0.0,0.0,0.0,1.6
Limburg,Leudal,1640,19.0,83.3,,78.0,1.2,0.4,0.1,1.1,0.0,0.2,0.2,2.1
Limburg,Maasgouw,1641,15.7,80.5,,74.7,1.5,0.8,2.1,0.3,0.0,0.0,0.0,1.1
Limburg,Maastricht,935,13.9,69.8,,60.4,0.5,0.3,2.0,3.7,0.1,0.2,0.4,2.2
Limburg,Meerssen,938,15.8,76.3,,72.1,1.8,0.2,0.2,1.3,0.0,0.0,0.4,0.4
Limburg,Mook en Middelaar,944,14.2,59.4,,53.8,1.4,0.0,1.0,0.0,0.0,0.0,0.0,2.9
Limburg,Nederweert,946,16.8,84.7,,83.2,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.4
Limburg,Nuth,951,20.5,84.4,,80.4,0.2,0.2,0.5,2.1,0.0,0.0,0.0,0.9
Limburg,Onderbanken,881,11.3,80.4,,70.3,1.7,0.0,0.4,5.9,0.0,0.0,0.0,2.1
Limburg,Peel en Maas,1894,11.7,82.8,,79.1,0.3,0.3,0.4,1.1,0.0,0.1,0.2,1.4
Limburg,Roerdalen,1669,16.4,80.3,,75.2,0.5,0.2,1.2,2.6,0.0,0.0,0.0,0.7
Limburg,Roermond,957,16.3,72.1,,58.2,0.6,0.2,1.8,8.0,0.0,0.8,0.1,2.4
Limburg,Schinnen,962,19.9,76.6,,70.0,1.1,0.6,0.3,1.7,0.0,0.0,0.3,2.8
Limburg,Simpelveld,965,22.5,92.4,,88.3,0.3,0.0,1.6,1.3,0.0,0.0,0.0,1.0
Limburg,Sittard-Geleen,1883,14.5,75.1,,65.1,1.2,0.2,1.4,4.4,0.0,0.3,0.4,2.1
Limburg,Stein,971,12.1,81.0,,75.3,0.7,0.1,0.7,2.5,0.0,0.0,0.7,1.0
Limburg,Vaals,981,25.8,85.6,,82.2,0.3,0.0,0.3,0.0,0.0,0.0,0.7,2.0
Limburg,Valkenburg aan de Geul,994,24.8,79.9,,76.1,0.0,0.0,1.4,0.9,0.0,0.0,0.2,1.2
Limburg,Venlo,983,11.7,72.7,,59.8,0.5,0.4,1.3,8.8,0.0,0.3,0.5,1.2
Limburg,Venray,984,14.5,74.9,,64.4,0.6,0.3,1.8,5.5,0.0,0.3,0.1,2.0
Limburg,Voerendaal,986,20.7,84.5,,81.7,0.6,0.0,0.3,1.1,0.0,0.0,0.6,0.3
Limburg,Weert,988,12.1,76.2,,67.0,1.1,0.1,1.0,4.6,0.0,0.3,0.2,1.9
