# Bron: https://www.cbs.nl/nl-nl/maatwerk/2015/20/religie-en-kerkbezoek-naar-gemeente-2010-2014
# Kerkelijke gezindte en kerkbezoek in 403 gemeenten, 2010/2014 (18 jaar en ouder 1)
# Kolom "Maandelijks%" is bevolkingsdeel dan minimaal 1x per maand een religieuze dienst bezoekt.
Provincie,Gemeente,Gemcode,Maandelijks%,Religieus%,dummy,Katholiek%,Hervormd%,Gereformeerd%,PKN%,Islam%,Joods%,Hindoe%,Boeddhist%,Anders%
Drenthe,Coevorden,109,14.4,47.4,,13.6,20.2,3.9,5.3,1.0,0.0,0.2,0.0,3.2
Drenthe,De Wolden,1690,14.0,47.0,,6.4,22.9,6.4,8.3,0.0,0.0,0.0,0.2,2.9
Drenthe,Emmen,114,14.9,45.5,,17.9,8.4,4.6,6.6,1.7,0.0,0.1,0.1,6.0
Drenthe,Hoogeveen,118,23.0,56.0,,4.0,19.0,11.0,12.4,1.5,0.1,0.1,0.0,7.7
Drenthe,Meppel,119,20.7,42.6,,5.3,12.6,5.6,10.1,1.6,0.0,0.0,0.2,7.2
Drenthe,Midden-Drenthe,1731,14.3,40.8,,5.8,10.8,6.4,14.1,0.3,0.0,0.1,0.0,3.5
Drenthe,Noordenveld,1699,11.3,29.5,,6.2,8.8,5.3,5.7,0.4,0.1,0.0,0.6,2.6
Drenthe,Tynaarlo,1730,11.4,33.5,,3.9,12.2,4.8,6.2,0.2,0.1,0.0,0.1,5.9
Drenthe,Westerveld,1701,15.8,39.7,,5.7,17.4,3.2,9.8,0.0,0.0,0.0,0.0,3.6
Overijssel,Almelo,141,19.3,52.3,,20.9,8.5,1.9,5.4,7.6,0.2,0.1,0.6,7.3
Overijssel,Borne,147,15.1,55.4,,35.2,7.1,1.1,5.9,2.8,0.0,0.2,0.0,3.2
Overijssel,Dalfsen,148,28.7,69.7,,20.2,24.8,12.1,10.2,0.4,0.0,0.0,0.1,1.8
Overijssel,Deventer,150,10.3,40.2,,15.5,6.8,1.5,3.3,7.4,0.0,0.2,0.6,4.9
Overijssel,Dinkelland,1774,23.2,80.9,,76.6,2.4,0.2,1.1,0.6,0.0,0.0,0.0,0.0
Overijssel,Enschede,153,15.0,43.2,,17.1,5.3,4.0,3.2,6.0,0.1,0.8,0.3,6.5
Overijssel,Haaksbergen,158,21.8,66.1,,52.1,7.9,0.3,1.1,2.6,0.0,0.0,0.2,1.9
Overijssel,Hardenberg,160,37.0,69.7,,7.9,19.0,17.9,21.3,0.3,0.0,0.1,0.1,3.1
Overijssel,Hellendoorn,163,26.0,72.4,,26.5,20.4,3.9,15.6,1.1,0.0,0.0,0.2,4.7
Overijssel,Hengelo,164,12.6,46.9,,26.5,5.1,1.9,3.7,3.1,0.0,0.0,0.0,6.5
Overijssel,Hof van Twente,1735,13.9,62.8,,33.4,17.9,1.0,4.1,0.7,0.1,0.0,0.5,5.0
Overijssel,Kampen,166,49.6,70.5,,6.7,17.5,19.2,17.0,2.3,0.0,0.2,0.1,7.3
Overijssel,Losser,168,14.6,66.8,,53.8,3.7,0.3,5.9,1.2,0.0,0.0,0.0,2.0
Overijssel,Oldenzaal,173,12.8,65.7,,54.8,3.1,0.8,1.2,2.6,0.0,0.0,0.0,3.1
Overijssel,Olst-Wijhe,1773,17.8,55.1,,32.6,10.3,2.9,8.0,0.0,0.0,0.0,0.0,1.3
Overijssel,Ommen,175,35.3,68.5,,11.5,18.8,20.2,16.4,0.2,0.0,0.0,0.0,1.3
Overijssel,Raalte,177,21.9,77.1,,63.3,8.6,0.8,2.7,0.4,0.0,0.2,0.0,0.9
Overijssel,Rijssen-Holten,1742,53.6,79.4,,6.4,26.3,19.0,16.5,3.6,0.1,0.0,0.0,7.5
Overijssel,Staphorst,180,60.9,82.5,,1.0,47.4,13.4,9.5,0.5,0.0,0.0,0.0,10.6
Overijssel,Steenwijkerland,1708,18.9,44.6,,11.4,11.7,8.6,8.5,0.5,0.0,0.0,0.0,3.9
Overijssel,Tubbergen,183,28.5,83.6,,79.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.2
Overijssel,Twenterand,1700,38.0,73.4,,5.8,39.6,12.6,9.0,0.0,0.0,0.0,0.0,6.4
Overijssel,Wierden,189,38.9,76.1,,34.5,18.2,10.0,8.6,0.3,0.0,1.2,0.3,2.9
Overijssel,Zwartewaterland,1896,54.4,71.0,,3.2,27.3,20.2,15.4,0.2,0.0,0.0,0.2,4.6
Overijssel,Zwolle,193,21.2,48.4,,13.8,9.5,8.4,8.1,2.6,0.1,0.2,0.5,5.1
Flevoland,Almere,34,13.0,40.3,,14.5,3.2,1.4,4.2,7.1,0.3,2.1,0.5,7.1
Flevoland,Dronten,303,21.5,49.4,,11.3,9.0,7.8,10.0,3.8,0.1,0.1,0.4,6.9
Flevoland,Lelystad,995,13.6,35.4,,10.8,4.0,3.2,3.8,6.2,0.1,1.0,0.8,5.6
Flevoland,Noordoostpolder,171,30.0,54.2,,14.3,9.1,8.7,13.6,0.6,0.0,0.2,0.2,7.6
Flevoland,Urk,184,95.8,98.1,,1.2,11.0,52.3,20.8,0.0,0.0,0.0,0.0,12.9
Flevoland,Zeewolde,50,20.1,42.5,,10.5,5.3,10.3,10.5,0.4,0.0,0.0,0.2,5.1
Gelderland,Aalten,197,25.7,67.0,,14.2,12.6,7.5,27.5,1.1,0.0,0.0,0.5,3.4
