Date,Date_stop,Description,Flags
2020-05-11,2020-07-01,"Heropening, max 30"
2020-06-01,2099-09-09,Mondkapje OV
2020-06-01,,Tests voor iedereen
2020-07-01,2020-10-14,Max 100
2020-07-04,2020-08-17,Schoolvak. Noord
2020-07-11,2020-08-24,Schoolvak. Zuid
2020-07-18,2020-08-31,Schoolvak. Midden
2020-08-18,,Max 6 gasten thuis
2020-09-20,2020-09-29,"Randstad horeca 01u"
2020-09-29,2020-10-14,"Max 30/3, horeca 22u"
2020-10-05,2099-09-09,Mondkapjes VO
2020-10-10,2020-10-19,Schoolvak. Noord
2020-10-14,2099-09-09,Horeca dicht
2020-10-17,2020-10-26,Schoolvak. Mid/Zuid
2020-11-04,2020-11-19,Doorstroomloc. dicht
2020-11-19,,Doorstromloc.\nopen
2020-12-01,,Mondkapjesplicht\nTesten zonder sympt.
2020-12-15,2099-03-01,Harde lockdown
2020-12-16,2021-02-08,Scholen dicht
2020-12-19,2021-01-04,Schoolvakantie
2021-01-23,2021-03-31,Avondklok
2021-01-29,2021-02-04,Sneeuw-\ncorrectie (7 feb),RGraph
2021-02-07,,Sneeuw,CaseGraph
2021-02-08,,Basisscholen open
2021-02-10,2021-02-11,IJzel (15 feb),RGraph
2021-02-15,2021-02-16,IJzel,CaseGraph
2021-02-13,2021-02-21,Schoolvak. Zuid
2021-02-20,2021-02-28,Schoolvak. Mid/Noord
2021-03-01,,VO deels open
2021-03-03,,Versoepeling
2021-03-31,2021-04-28,Avondklok 22:00
2021-03-23,2021-03-30,Effect zelftests?,RGraph
2021-03-31,,Zelftests,CaseGraph
2021-04-27,,Koningsdag
2021-04-28,,Versoepelingen
# Meivak. wk17-18 of wk18-19. (steekproef 22 scholen in Nederland)
2021-04-29,2021-05-13,Schoolvakanties
2021-05-02,,Ajax-feest
# https://www.rijksoverheid.nl/actueel/nieuws/2021/05/11/stap-2-sportscholen-open-en-buiten-meer-mogelijk
2021-05-19,,Versoepelingen
2021-05-31,,VO open
2021-06-05,,Einde "lockdown".
2021-06-26,,Einde maatregelen
2021-06-30,,Evenementen mogen
2021-07-01,,Piek R=4.0
2021-07-10,,Stop dansen/nachthoreca
2021-07-12,2021-08-22,Schoolvak. Noord
2021-07-17,2021-08-29,Schoolvak. Midden
2021-07-24,2021-09-05,Schoolvak. Zuid
# 2021-07-16,2021-07-25,Kermis Tilburg
2021-08-23,,Scholen open Noord
2021-08-30,,Scholen open Midden
2021-09-06,,Scholen open Zuid
2021-09-04,,Formule 1 en Dam-demo
2021-09-14,,"Persco einde 1,5 m"
2021-09-25,,"Einde 1,5 meter"
2021-09-18,2021-09-25,Effect TvT,RGraph
2021-10-16,2021-10-23,Vak. Mid./Noord
2021-10-23,2021-10-30,Vak. Zuid
2021-10-30,2021-11-06,Effect meer TvT,RGraph
2021-11-06,,"Maatregelen, o.a. maskerplicht"
2021-11-11,,"Carnaval N-Brabant"
2021-11-13,,"Maatregelen, o.a. horeca 20:00"
2021-11-28,,"Maatregelen, sluiting 17:00"

2021-11-03,2021-11-18,"Max testcapaciteit 11-25 nov",RGraph
2021-11-29,2021-12-05,Effect zelftesten v.a. 4 dec

2021-12-25,2022-01-09,Kerstvakantie
2022-02-20,2022-02-27,Schoolvak. Noord
2022-02-27,2022-03-06,Schoolvak. Mid/Zuid
# Note: Meivakantie may start earlier in many schools.
2022-04-30,2022-05-07,Schoolvak.



# run calc_vaccinations.py
2021-04-10,,5% gevaccineerd
2021-05-11,,10% gevaccineerd
2021-05-24,,15% gevaccineerd
2021-06-02,,20% gevaccineerd
2021-06-11,,25% gevaccineerd
2021-06-20,,30% gevaccineerd
2021-06-28,,35% gevaccineerd
2021-07-09,,40% gevaccineerd
2021-07-16,,45% gevaccineerd
2021-07-25,,50% gevaccineerd
2021-08-03,,55% gevaccineerd
2021-08-12,,60% gevaccineerd
2021-09-05,,65% gevaccineerd
2021-09-23,,66% gevaccineerd
2021-10-08,,67% gevaccineerd
2021-10-28,,68% gevaccineerd


# EOF
